Customer ID,Customer Name,Segment,Orders,Sales,Profit,Quantity,First_Order,Last_Order,Average_Order_Value,Profit_Margin,Customer_Type
AA-10315,Alex Avila,Consumer,5,5563.56,-362.8825,30,2014-03-31,2017-06-29,1112.712,-0.06522487400153858,Repeat Customer
AA-10375,Allen Armold,Consumer,9,1056.39,277.3824,41,2014-04-21,2017-11-12,117.37666666666668,0.26257575327293897,Repeat Customer
AA-10480,Andrew Allen,Consumer,4,1790.5120000000002,435.8274,36,2014-04-05,2017-04-15,447.62800000000004,0.24340937117427863,Repeat Customer
AA-10645,Anna Andreadi,Consumer,6,5086.9349999999995,857.8033,64,2014-01-12,2017-05-11,847.8224999999999,0.16862871257446777,Repeat Customer
AB-10015,Aaron Bergman,Consumer,3,886.156,129.3465,13,2014-02-18,2016-10-11,295.38533333333334,0.14596357751908243,Repeat Customer
AB-10060,Adam Bellavance,Home Office,8,7755.62,2054.5885,56,2015-09-18,2017-09-16,969.4525,0.26491608665715954,Repeat Customer
AB-10105,Adrian Barton,Consumer,10,14473.570999999998,5444.8055,73,2014-12-20,2017-11-19,1447.3570999999997,0.3761895043040865,Repeat Customer
AB-10150,Aimee Bixby,Consumer,5,966.71,313.6597,37,2014-05-03,2017-11-19,193.342,0.3244610069203794,Repeat Customer
AB-10165,Alan Barnes,Consumer,8,1113.838,220.813,48,2014-11-16,2017-09-15,139.22975,0.19824516671185577,Repeat Customer
AB-10255,Alejandro Ballentine,Home Office,9,914.5319999999999,264.5675,39,2014-07-22,2017-07-17,101.61466666666666,0.2892927748837657,Repeat Customer
AB-10600,Ann Blume,Corporate,4,1515.862,-274.9604,38,2014-11-18,2017-10-11,378.9655,-0.18138880716054626,Repeat Customer
AC-10420,Alyssa Crouse,Corporate,3,925.8,-62.1342,17,2014-12-07,2017-12-05,308.59999999999997,-0.06711406351263773,Repeat Customer
AC-10450,Amy Cox,Consumer,7,5527.846,1366.0098,43,2014-10-31,2017-12-19,789.6922857142856,0.2471143009410899,Repeat Customer
AC-10615,Ann Chong,Corporate,5,2537.6859999999997,298.8273,59,2015-09-15,2017-12-24,507.5371999999999,0.11775582164223627,Repeat Customer
AC-10660,Anna Chung,Consumer,5,657.316,-28.700399999999995,16,2014-10-15,2017-03-23,131.4632,-0.04366301748321963,Repeat Customer
AD-10180,Alan Dominguez,Home Office,8,6106.88,1869.9294,40,2014-11-19,2017-11-13,763.36,0.3062004493292811,Repeat Customer
AF-10870,Art Ferguson,Consumer,7,2052.908,317.9712,51,2015-06-12,2017-11-19,293.27257142857144,0.1548881878778786,Repeat Customer
AF-10885,Art Foster,Consumer,4,861.565,-163.1175,37,2014-10-05,2016-10-11,215.39125,-0.18932698055283118,Repeat Customer
AG-10270,Alejandro Grove,Consumer,5,2582.898,732.7399,58,2014-05-13,2017-03-27,516.5796,0.2836890577947716,Repeat Customer
